Domain_Name,Department_Name,ArticleGroup_Name,Supplier Name,Article_No,Article_Name,GrossSale_Price,Tax Code,Tax Amount,Stock,Barcode No,Discount_Price,Full_Desciption,Brand,Description_Points,Description
GROCERY NON-FOOD,MEN & WOMEN ITEM'S,SHAMPOO & CONDITIONERS,ABUDAWOOD TRADING PNG,100003,HEAD & SHOULDER 200ML CLASSIC CLEAN,399,17,60.86,0,2.90E+12,0,0,0,0,0
GROCERY FOODS,DRINKS,SQUASH & SHARBAT,ZAFAR AND COMPANY,100007,QARSHI JAM-E SHIRIN 800ML,410,17,68.64,56,8.55E+11,0,0,0,0,0
GROCERY FOODS,PULSES & SPICES,FM PULSES,GONDAL TRADERS,100018,FM BLACK CHANA 500GM,130,17,19.83,0,1006,0,0,0,0,0
HAIR CARE,HAIR COLORS,HAIR COLORS,AQ MARKET ,100026,KOLESTON SEMI KITS 303 0 DARK BROWN,799,17,121.88,0,4.06E+12,0,0,0,0,0
HAIR CARE,HAIR COLORS,HAIR COLORS,AQ MARKET ,100027,KOLESTON SEMI KITS304 0  MEDIUM BROWN ,799,17,121.88,3,4.06E+12,0,0,0,0,0
GROCERY FOODS,TEA & COFFE,TEA,MEEZAN TEA PVT LTD,100030,MEZAN ULTRA RICH TEA BOX 170GM,380,17,57.97,117,8.96E+12,0,0,0,0,0
HAIR CARE,HAIR COLORS,HAIR COLORS,AQ MARKET ,100031,KOLESTON SEMI KITS 304/5 DARK MAHOGANY,799,17,121.88,4,4.06E+12,0,0,0,0,0
HAIR CARE,HAIR COLORS,HAIR COLORS,AQ MARKET ,100043,KOLESTON KIT 5/5,1949,17,297.31,2,4.06E+12,0,0,0,0,0
GROCERY FOODS,"JAMS,SAUSES&SOUPS,SPREADS",SPREADS,DIGITAL DISTRIBUTION -GT ISLAMABAD (YOUNGS),100100,YOUNGS PEANUT BUTTER CREAMY,850,16,129.66,4,7.26E+11,0,0,0,0,0
GROCERY FOODS,"JAMS,SAUSES&SOUPS,SPREADS",SPREADS,DIGITAL DISTRIBUTION -GT ISLAMABAD (YOUNGS),100104,YOUNGS CHICKEN SPREAD 500ML,720,16,109.83,7,8.96E+12,0,0,0,0,0
